% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=929680, Sun Jun 18 18:07:58 2017
1 24 0.992364197555 1.00004995135 184.548465482 1.8454846548242145e+02 196.795174796 197.489240062   
2 48 0.98523978719 1.00004995135 172.295695179 1.7229569517933635e+02 194.747662401 197.022963009   
3 72 0.978511666509 1.00004995135 146.756844814 1.4675684481377934e+02 192.796787516 196.242650006   
4 96 0.972147355365 1.00004995135 146.756844814 1.7224463656191142e+02 187.898254548 196.679561833   
5 120 0.966051697573 1.00004995135 146.756844814 1.5185078120762441e+02 187.818041299 196.743356782   
6 144 0.960250203806 1.00004995135 146.756844814 1.4973827775604590e+02 175.770898076 196.623562837   
7 168 0.954652578082 1.00004995135 135.81129371 1.3581129371036019e+02 170.426984306 196.58481691   
8 192 0.949215836971 1.00004995135 135.81129371 1.5460206270229369e+02 176.408974816 192.340841462   
9 216 0.943956088226 1.00995773852 133.982234431 1.3398223443108378e+02 169.938855949 196.695608165   
10 240 0.938891809378 1.00995773852 133.982234431 1.4006820059281429e+02 168.048746427 185.084192723   
11 264 0.934034462566 1.00995773852 97.1040019598 9.7104001959768979e+01 164.940197281 189.820987832   
12 288 0.929368194255 1.00995773852 97.1040019598 1.1783514886586363e+02 161.731949659 182.629336168   
13 312 0.924853105663 1.00995773852 97.1040019598 1.2143121362117036e+02 157.582302188 187.974175323   
14 336 0.920413782382 1.00995773852 97.1040019598 1.2191558588560737e+02 165.437910444 186.395655033   
15 360 0.916188837635 1.00995773852 97.1040019598 1.1828845192952673e+02 160.488780649 185.906047146   
16 384 0.912092829962 1.00995773852 97.1040019598 1.1558609948404583e+02 150.815807851 174.786789357   
17 408 0.908136834476 1.01134320212 97.1040019598 1.1207726739779818e+02 144.356408268 180.337371884   
18 432 0.904326210852 1.01134320212 93.9632336171 9.3963233617109765e+01 153.863975026 176.316753437   
19 456 0.9006365616 1.01134320212 93.9632336171 1.0978204893234533e+02 146.172013941 174.942894729   
20 480 0.897086450905 1.01134320212 93.9632336171 1.1260694526978322e+02 147.03444877 173.743352249   
21 504 0.893635381179 1.01134320212 93.9632336171 9.5399216593528251e+01 141.731931358 163.589184848   
22 528 0.89033166496 1.01134320212 93.9632336171 1.0188171689689896e+02 132.046305264 172.453502175   
23 552 0.887140833048 1.01134320212 82.3685075904 8.2368507590427100e+01 140.69117227 164.613574919   
24 576 0.884091700858 1.01134320212 46.8865960288 4.6886596028820712e+01 137.366007293 167.399009633   
25 600 0.881134082106 1.01332118096 46.8865960288 1.0724542159939591e+02 144.720552994 173.692760717   
26 624 0.878292153566 1.01332118096 36.3815573117 3.6381557311699119e+01 139.042395844 166.755753819   
27 648 0.875490981187 1.01332118096 36.3815573117 8.8899310708504927e+01 140.242472969 171.809453581   
28 672 0.872719179763 1.01332118096 36.3815573117 1.0005647987737757e+02 134.141250066 163.853610865   
29 696 0.870026638026 1.01332118096 36.3815573117 8.5528874814109486e+01 132.523663135 162.616834183   
30 720 0.867380097086 1.01332118096 34.3057272134 3.4305727213364712e+01 127.78748661 160.806245285   
31 744 0.864776790406 1.01332118096 34.3057272134 9.7476752712459529e+01 128.217960116 164.271810751   
32 768 0.862229485397 1.01332118096 34.3057272134 1.0346748745139446e+02 138.889350737 170.08039528   
33 792 0.859726550675 1.01551994577 34.3057272134 8.6232265978050378e+01 135.248772931 163.159969366   
34 816 0.85729595652 1.01551994577 34.3057272134 9.4325714703416793e+01 132.393556734 161.222079867   
35 840 0.85486975349 1.01551994577 34.3057272134 9.9492593951582634e+01 133.746790818 176.742921041   
36 864 0.852525351242 1.01551994577 34.3057272134 7.6936187436952650e+01 130.37133423 161.515608273   
37 888 0.850231580267 1.01551994577 34.3057272134 9.2639374596334463e+01 135.999620114 168.249359538   
38 912 0.847982272578 1.01551994577 34.3057272134 1.0170108376818882e+02 131.268063544 175.854480358   
39 936 0.845773553708 1.01551994577 34.3057272134 9.8726933210681537e+01 126.141983288 168.638348543   
40 960 0.843550674197 1.01551994577 34.3057272134 8.1762207595882586e+01 129.238583899 160.662565975   
41 984 0.841378578516 1.01754805502 34.3057272134 1.0515590055847116e+02 134.816200973 179.213053088   
42 1008 0.839230246039 1.01754805502 31.189398941 3.1189398940985303e+01 140.458969445 181.745059357   
43 1032 0.837134518135 1.01754805502 31.189398941 9.9167479052168758e+01 137.611971656 172.229021597   
44 1056 0.835097845278 1.01754805502 31.189398941 1.1560499604457532e+02 128.862003788 159.887469097   
45 1080 0.833113529766 1.01754805502 31.189398941 9.3226023183463724e+01 133.016855077 161.978568703   
46 1104 0.831137454597 1.01754805502 31.189398941 9.1815334581071767e+01 128.085564149 163.848012218   
47 1128 0.829151144726 1.01754805502 31.189398941 4.9110872202719719e+01 115.157105219 169.395740216   
